JOBMAP_LINK_CD	JOB_DIC_VFCL_CD	JOB_DIC_VFCL_SEQNO	VFCL_JOB_NM	IND_CLCD	IND_CD_KOR_NM	GED	SVP	FD	FP	FT	STR	D1	CB	D2	CK	D3	RH	D4	TA	D5	HE	D6	VP	Factor1	Factor2	Factor3	IND1	OCC1
0612	2412	1	공중보건의사	Q863	공중 보건 의료업	18	1	7	8	7	2	0	0	0	0	1	1	0	0	0	0	4	1	1.2482593202	-0.152989078	2.4416602744	86	241
0231	2733	4	광고마케터	M713	광고업	18	10	6	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2478458507	-1.163451497	-0.281164138	71	273
2211	2341	20	환경컨설턴트	M715	회사본부, 지주회사 및 경영컨설팅 서비스업	16	4	8	7	0	2	0	0	0	0	0	0	1	1	0	0	4	1	1.2469300758	-0.85863341	1.860215172	71	234
0861	2831	40	배역감독	J591	영화, 비디오물, 방송프로그램 제작 및 배급업	16	10	7	7	0	2	0	0	0	0	0	0	1	1	0	0	4	1	1.2467262344	-0.7143464	1.8252781651	59	283
0861	2831	48	영화제2조감독	J591	영화, 비디오물, 방송프로그램 제작 및 배급업	16	10	7	7	0	2	0	0	0	0	0	0	1	1	0	0	4	1	1.2467262344	-0.7143464	1.8252781651	59	283
0855	2855	6	음성사용자환경디자이너	J582	소프트웨어 개발 및 공급업	16	2	8	7	0	1	0	0	0	0	0	0	1	1	4	1	0	0	1.2464934183	-1.530900154	1.0425593007	58	285
0841	2841	7	화가	R901	창작 및 예술관련 서비스업	16	15	8	0	7	3	0	0	0	0	1	1	0	0	0	0	4	1	1.2453462624	1.1476512516	2.1761068053	90	284
0172	1512	8	컨테이너화물조작장운영관리자	H529	기타 운송관련 서비스업	16	15	6	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.24233527	-0.86654801	-0.393720955	52	151
0131	1312	1	교감	P851/P852		16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	85	131
0131	1312	2	교장	P851/P852		16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	85	131
0131	1312	6	유치원원장	P851	초등 교육기관	16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	85	131
0182	1521	3	골프장코스관리자	R911	스포츠 서비스업	16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	91	152
0421	2591	7	장학관	O842	사회 및 산업정책 행정	16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	84	259
0861	2831	7	무대감독	R901	창작 및 예술관련 서비스업	16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	90	283
1111	4122	1	경호책임자	N753	경비, 경호 및 탐정업	16	10	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2413688958	-0.442230589	-0.428970931	75	412
0441	2121	2	서지학연구원	M702	인문 및 사회과학 연구개발업	18	4	6	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2391357646	-0.379408097	-0.113295253	70	212
0531	4111	8	범죄심리분석관	O844	사법 및 공공질서 행정	18	10	7	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2390992724	-0.531084706	-0.358251334	84	411
0843	2843	31	애니메이션스토리보드작가	J591	영화, 비디오물, 방송프로그램 제작 및 배급업	16	4	8	7	7	2	0	0	0	0	1	1	4	1	7	1	10	1	1.2389228423	-0.168101355	3.688609487	59	284
0843	2843	32	애니메이션캐릭터디자이너	J591	영화, 비디오물, 방송프로그램 제작 및 배급업	16	4	8	7	7	2	0	0	0	0	1	1	4	1	7	1	10	1	1.2389228423	-0.168101355	3.688609487	59	284
2032	2223	10	소프트웨어테스터	J582	소프트웨어 개발 및 공급업	16	10	6	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2385947688	-0.856991226	-0.274876058	58	222
0432	2111	17	병리학연구원	M701	자연과학 및 공학 연구개발업	18	4	6	8	7	1	0	0	0	0	0	0	0	0	0	0	1	1	1.2369352373	-0.931210836	1.7981407292	70	211
0152	1413	17	합성수지제품제조관리자	C203	합성고무 및 플라스틱 물질 제조업	14	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2358583151	-0.145327102	-0.541527748	20	141
0182	1521	9	카지노관리자	R912	유원지 및 기타 오락관련 서비스업	14	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2358583151	-0.145327102	-0.541527748	91	152
0642	2454	2	관리치과위생사	Q861	병원	14	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2358583151	-0.145327102	-0.541527748	86	245
0674	2464	1	의무기록관리자	Q869	기타 보건업	14	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2358583151	-0.145327102	-0.541527748	86	246
1820	8211	16	방사방적반장	C131	방적 및 가공사 제조업	14	15	7	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2358583151	-0.145327102	-0.541527748	13	821
1733	8323	1	강화플라스틱제조반장	C222	플라스틱제품 제조업	14	10	8	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1.2348919409	0.2789903188	-0.576777724	22	832
0432	2111	67	한약재검사연구원	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	211
0432	2111	74	한의학연구원	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	211
1511	2353	17	로봇감성인지연구원	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	235
1511	2353	18	로봇동작생성연구원	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	235
1511	2353	19	로봇인식기술연구원	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	235
1511	2353	37	안드로이드로봇공학기술자	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	235
1511	2353	60	지능형로봇연구원	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	235
1711	2321	19	수소생산시스템기술자	M701	자연과학 및 공학 연구개발업	18	4	8	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2335451919	-0.170223037	-0.144131797	70	232
0872	2835	15	음향믹싱기사	J591/J601/J602		14	10	7	7	7	2	0	0	0	0	0	0	0	0	1	1	0	0	1.2329029812	0.0649115869	0.6328981466	59	283
